#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  1.27558  0.000700  0.000372  0.002701     1.880
   0.00570  0.99436  0.00179  1.24070  0.000830  0.000409  0.002348     2.028
   0.01655  0.98363  0.00337  1.22164  0.000894  0.000426  0.002082     2.096
   0.02972  0.97060  0.00527  1.20527  0.000951  0.000440  0.001926     2.160
   0.04412  0.95635  0.00731  1.19358  0.000985  0.000448  0.001803     2.200
   0.05896  0.94164  0.00938  1.18338  0.001017  0.000454  0.001728     2.238
   0.07395  0.92680  0.01144  1.17575  0.001033  0.000457  0.001661     2.260
   0.08897  0.91191  0.01346  1.16868  0.001049  0.000459  0.001619     2.283
   0.10401  0.89701  0.01545  1.16282  0.001057  0.000460  0.001558     2.298
   0.11905  0.88209  0.01741  1.15667  0.001072  0.000462  0.001532     2.323
   0.13410  0.86717  0.01933  1.15200  0.001076  0.000461  0.001516     2.334
   0.14914  0.85224  0.02122  1.14790  0.001074  0.000459  0.001480     2.340
   0.16419  0.83731  0.02308  1.14312  0.001082  0.000459  0.001472     2.359
   0.17924  0.82237  0.02491  1.13954  0.001079  0.000456  0.001452     2.364
   0.19430  0.80743  0.02670  1.13564  0.001080  0.000455  0.001440     2.375
   0.20935  0.79248  0.02846  1.13219  0.001077  0.000452  0.001433     2.382
   0.22440  0.77753  0.03018  1.12890  0.001073  0.000449  0.001427     2.389
   0.23945  0.76257  0.03187  1.12567  0.001069  0.000446  0.001423     2.396
   0.25450  0.74761  0.03353  1.12268  0.001063  0.000443  0.001409     2.400
   0.26955  0.73265  0.03516  1.11933  0.001062  0.000440  0.001419     2.412
   0.28460  0.71769  0.03675  1.11691  0.001050  0.000436  0.001419     2.410
   0.29964  0.70272  0.03831  1.11396  0.001044  0.000432  0.001415     2.416
   0.31469  0.68775  0.03984  1.11110  0.001038  0.000428  0.001426     2.422
   0.32973  0.67279  0.04132  1.10866  0.001026  0.000424  0.001422     2.421
   0.34477  0.65782  0.04278  1.10573  0.001020  0.000420  0.001436     2.429
   0.35981  0.64285  0.04420  1.10335  0.001008  0.000415  0.001431     2.428
   0.37484  0.62788  0.04558  1.10036  0.001003  0.000411  0.001456     2.439
   0.38987  0.61291  0.04692  1.09833  0.000986  0.000406  0.001458     2.432
   0.40489  0.59795  0.04823  1.09551  0.000977  0.000401  0.001472     2.438
   0.41991  0.58298  0.04950  1.09294  0.000966  0.000396  0.001492     2.439
   0.43492  0.56802  0.05072  1.09054  0.000951  0.000390  0.001496     2.437
   0.44993  0.55306  0.05191  1.08762  0.000942  0.000385  0.001516     2.443
   0.46493  0.53810  0.05305  1.08509  0.000927  0.000380  0.001538     2.442
   0.47992  0.52315  0.05415  1.08246  0.000913  0.000374  0.001553     2.441
   0.49491  0.50820  0.05520  1.07964  0.000900  0.000368  0.001574     2.443
   0.50988  0.49325  0.05620  1.07681  0.000886  0.000362  0.001604     2.443
   0.52485  0.47832  0.05716  1.07401  0.000870  0.000356  0.001623     2.441
   0.53981  0.46338  0.05806  1.07091  0.000855  0.000350  0.001650     2.441
   0.55476  0.44846  0.05892  1.06776  0.000840  0.000344  0.001677     2.441
   0.56970  0.43354  0.05971  1.06453  0.000824  0.000338  0.001712     2.440
   0.58463  0.41863  0.06046  1.06120  0.000807  0.000331  0.001752     2.438
   0.59954  0.40373  0.06114  1.05773  0.000789  0.000324  0.001767     2.434
   0.61444  0.38885  0.06176  1.05362  0.000775  0.000318  0.001825     2.439
   0.62933  0.37397  0.06232  1.04999  0.000755  0.000311  0.001861     2.431
   0.64420  0.35911  0.06281  1.04567  0.000738  0.000304  0.001886     2.429
   0.65905  0.34426  0.06323  1.04087  0.000723  0.000297  0.001951     2.433
   0.67389  0.32943  0.06357  1.03649  0.000701  0.000289  0.001997     2.424
   0.68870  0.31462  0.06384  1.03118  0.000683  0.000282  0.002042     2.423
   0.70350  0.29982  0.06403  1.02553  0.000665  0.000274  0.002095     2.422
   0.71827  0.28505  0.06413  1.01954  0.000646  0.000267  0.002167     2.420
   0.73301  0.27031  0.06414  1.01323  0.000624  0.000259  0.002222     2.414
   0.74773  0.25559  0.06406  1.00604  0.000605  0.000251  0.002297     2.413
   0.76241  0.24091  0.06388  0.99843  0.000584  0.000242  0.002361     2.408
   0.77706  0.22627  0.06359  0.98987  0.000564  0.000234  0.002456     2.407
   0.79167  0.21167  0.06319  0.98075  0.000541  0.000225  0.002521     2.400
   0.80623  0.19711  0.06267  0.97023  0.000520  0.000217  0.002603     2.401
   0.82073  0.18262  0.06202  0.95899  0.000498  0.000208  0.002730     2.402
   0.83518  0.16820  0.06124  0.94687  0.000473  0.000198  0.002826     2.393
   0.84954  0.15387  0.06031  0.93259  0.000450  0.000188  0.002908     2.394
   0.86378  0.13967  0.05922  0.91700  0.000426  0.000177  0.003049     2.403
   0.87784  0.12567  0.05796  0.90049  0.000397  0.000166  0.002657     2.400
   0.89151  0.11207  0.05655  0.88394  0.000390  0.000154  0.003368     2.530
   0.90434  0.09933  0.05503  0.87811  0.000329  0.000133  0.004688     2.470
   0.91597  0.08785  0.05319  0.85739  0.000270  0.000116  0.004940     2.330
   0.92708  0.07700  0.05077  0.80809  0.000246  0.000106  0.005284     2.319
   0.93794  0.06655  0.04779  0.74384  0.000221  0.000097  0.005017     2.276
   0.94861  0.05648  0.04428  0.66158  0.000207  0.000090  0.005023     2.291
   0.95899  0.04689  0.04030  0.56396  0.000186  0.000082  0.004263     2.250
   0.96890  0.03798  0.03597  0.44616  0.000173  0.000076  0.003679     2.269
   0.97805  0.03000  0.03150  0.31426  0.000154  0.000069  0.002390     2.241
   0.98613  0.02319  0.02715  0.16350  0.000141  0.000063  0.000790     2.239
   0.99300  0.01763  0.02312 -0.00002  0.000121  0.000054  0.001228     2.230
   0.99868  0.01322  0.01953 -0.16453  0.000121  0.000054  0.004260     2.230
   1.00336  0.00978  0.01636 -0.34196  0.000100  0.000046  0.007751     2.189
   1.00725  0.00708  0.01356 -0.53681  0.000091  0.000041  0.012909     2.216
   1.01053  0.00496  0.01106 -0.74470  0.000081  0.000037  0.019475     2.185
   1.01334  0.00330  0.00879 -0.97964  0.000072  0.000033  0.027917     2.182
   1.01579  0.00203  0.00670 -1.23871  0.000064  0.000030  0.039766     2.178
   1.01795  0.00108  0.00475 -1.53583  0.000057  0.000026  0.052177     2.164
   1.01990  0.00043  0.00292 -1.86061  0.000052  0.000024  0.068087     2.177
   1.02167  0.00007  0.00118 -2.21176  0.000048  0.000022  0.078872     2.173
   1.02330  0.00001 -0.00045 -2.55755  0.000046  0.000021  0.078436     2.201
   1.02496  0.00027 -0.00208 -2.85722  0.000048  0.000021  0.039176     2.257
   1.02668  0.00094 -0.00367 -2.94134  0.000064  0.000026 -0.004921     2.514
   1.02852  0.00206 -0.00513 -2.82153  0.000154  0.000034 -0.003955     4.490
