#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96532  0.002413  0.001327  0.001825     1.818
   0.00582  0.99426  0.00197  0.98269  0.002194  0.001235  0.002062     1.777
   0.01655  0.98366  0.00366  0.98796  0.002216  0.001199  0.001863     1.848
   0.02951  0.97086  0.00567  0.98607  0.002423  0.001197  0.001380     2.024
   0.04393  0.95660  0.00787  1.19798  0.000781  0.000566  0.007205     1.379
   0.05906  0.94165  0.01015  1.12848  0.000985  0.000657  0.005086     1.499
   0.07446  0.92641  0.01242  1.10859  0.001094  0.000672  0.003950     1.629
   0.08996  0.91107  0.01466  1.10287  0.001216  0.000663  0.002800     1.834
   0.10551  0.89569  0.01688  1.07073  0.002127  0.000745  0.000422     2.857
   0.12106  0.88028  0.01905  1.09084  0.002242  0.000676  0.000169     3.318
   0.13663  0.86487  0.02119  1.09306  0.002221  0.000667  0.000167     3.329
   0.15220  0.84944  0.02329  1.09566  0.002170  0.000658  0.000183     3.300
   0.16777  0.83401  0.02535  1.09831  0.002119  0.000648  0.000201     3.270
   0.18334  0.81857  0.02738  1.10246  0.001968  0.000634  0.000302     3.104
   0.19891  0.80312  0.02936  1.10589  0.001878  0.000622  0.000366     3.020
   0.21448  0.78767  0.03131  1.10902  0.001808  0.000611  0.000419     2.960
   0.23006  0.77222  0.03322  1.11173  0.001756  0.000601  0.000458     2.923
   0.24563  0.75676  0.03510  1.11428  0.001710  0.000591  0.000492     2.893
   0.26120  0.74130  0.03693  1.11660  0.001672  0.000582  0.000518     2.873
   0.27677  0.72583  0.03873  1.11898  0.001632  0.000573  0.000549     2.851
   0.29234  0.71036  0.04049  1.12112  0.001600  0.000564  0.000571     2.838
   0.30790  0.69489  0.04221  1.12340  0.001564  0.000555  0.000601     2.819
   0.32346  0.67942  0.04389  1.12589  0.001521  0.000545  0.000643     2.791
   0.33902  0.66395  0.04553  1.12756  0.001500  0.000537  0.000653     2.792
   0.35457  0.64848  0.04712  1.12992  0.001461  0.000528  0.000692     2.768
   0.37012  0.63301  0.04868  1.13183  0.001433  0.000519  0.000716     2.759
   0.38566  0.61754  0.05019  1.13392  0.001400  0.000510  0.000749     2.742
   0.40120  0.60208  0.05166  1.13571  0.001373  0.000502  0.000772     2.735
   0.41673  0.58662  0.05309  1.13731  0.001351  0.000494  0.000787     2.735
   0.43225  0.57116  0.05446  1.13964  0.001313  0.000484  0.000836     2.710
   0.44776  0.55570  0.05579  1.14118  0.001290  0.000476  0.000855     2.708
   0.46326  0.54025  0.05707  1.14273  0.001267  0.000468  0.000873     2.707
   0.47875  0.52481  0.05830  1.14464  0.001237  0.000459  0.000909     2.694
   0.49423  0.50937  0.05948  1.14687  0.001201  0.000450  0.000966     2.670
   0.50970  0.49394  0.06060  1.14838  0.001175  0.000441  0.000998     2.663
   0.52516  0.47852  0.06167  1.14921  0.001161  0.000434  0.000994     2.676
   0.54060  0.46311  0.06267  1.15083  0.001135  0.000425  0.001025     2.670
   0.55603  0.44771  0.06362  1.15262  0.001106  0.000416  0.001068     2.659
   0.57144  0.43233  0.06450  1.15405  0.001082  0.000407  0.001097     2.656
   0.58684  0.41695  0.06532  1.15643  0.001042  0.000397  0.001184     2.625
   0.60222  0.40160  0.06606  1.15680  0.001029  0.000389  0.001174     2.643
   0.61757  0.38625  0.06674  1.15848  0.001000  0.000380  0.001228     2.631
   0.63291  0.37093  0.06734  1.15980  0.000974  0.000371  0.001271     2.625
