xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.000     0.000   0.079828   0.000269   0.000000   0.000269  -0.000000  -0.000000  -0.019524   0.000000   0.000000   15.5418     0.2557
    2.000     0.000   0.159603   0.001074   0.000000   0.001074  -0.000000  -0.000000  -0.039354   0.000000   0.000000   10.9915     0.2557
    3.000     0.000   0.239274   0.002414   0.000000   0.002414  -0.000000   0.000000  -0.059466   0.000000   0.000000    8.9770     0.2558
    4.000     0.000   0.318787   0.004283   0.000000   0.004283  -0.000000  -0.000000  -0.079835   0.000000   0.000000    7.7773     0.2559
    5.000     0.000   0.398092   0.006677   0.000000   0.006677  -0.000000  -0.000000  -0.100436   0.000000   0.000000    6.9596     0.2560
    6.000     0.000   0.477136   0.009589   0.000000   0.009589  -0.000000  -0.000000  -0.121244   0.000000   0.000000    6.3571     0.2562
    7.000     0.000   0.555869   0.013008   0.000000   0.013008  -0.000000   0.000000  -0.142234   0.000000   0.000000    5.8897     0.2564
    8.000     0.000   0.634240   0.016925   0.000000   0.016925  -0.000000   0.000000  -0.163380   0.000000   0.000000    5.5138     0.2566
    9.000     0.000   0.712199   0.021328   0.000000   0.021328  -0.000000  -0.000000  -0.184657   0.000000   0.000000    5.2033     0.2568
   10.000     0.000   0.789698   0.026204   0.000000   0.026204  -0.000000   0.000000  -0.206039   0.000000   0.000000    4.9414     0.2571


