xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.000     0.000   0.076568   0.000256   0.000000   0.000256  -0.000000  -0.000000  -0.067297   0.000000   0.000000   15.8692     0.9243
    2.000     0.000   0.153076   0.001023   0.000000   0.001023  -0.000000   0.000000  -0.134836   0.000000   0.000000   11.2234     0.9245
    3.000     0.000   0.229475   0.002299   0.000000   0.002299  -0.000000  -0.000000  -0.202537   0.000000   0.000000    9.1666     0.9248
    4.000     0.000   0.305714   0.004078   0.000000   0.004078  -0.000000  -0.000000  -0.270317   0.000000   0.000000    7.9418     0.9253
    5.000     0.000   0.381744   0.006356   0.000000   0.006356  -0.000000  -0.000000  -0.338092   0.000000   0.000000    7.1071     0.9258
    6.000     0.000   0.457517   0.009124   0.000000   0.009124  -0.000000  -0.000000  -0.405781   0.000000   0.000000    6.4919     0.9264
    7.000     0.000   0.532983   0.012374   0.000000   0.012374  -0.000000  -0.000000  -0.473300   0.000000   0.000000    6.0148     0.9272
    8.000     0.000   0.608094   0.016095   0.000000   0.016095  -0.000000  -0.000000  -0.540569   0.000000   0.000000    5.6311     0.9281
    9.000     0.000   0.682803   0.020275   0.000000   0.020275  -0.000000  -0.000000  -0.607504  -0.000000  -0.000000    5.3141     0.9290
   10.000     0.000   0.757062   0.024901   0.000000   0.024901  -0.000000  -0.000000  -0.674024  -0.000000  -0.000000    5.0467     0.9301


