xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.000     0.000   0.073551   0.000297   0.000000   0.000297  -0.000000  -0.000000  -0.017736   0.000000   0.000000   18.5789     0.2526
    2.000     0.000   0.147049   0.001186   0.000000   0.001186  -0.000000  -0.000000  -0.035678   0.000000   0.000000   13.1397     0.2526
    3.000     0.000   0.220440   0.002665   0.000000   0.002665  -0.000000  -0.000000  -0.053805   0.000000   0.000000   10.7317     0.2527
    4.000     0.000   0.293671   0.004730   0.000000   0.004730  -0.000000  -0.000000  -0.072094   0.000000   0.000000    9.2979     0.2528
    5.000     0.000   0.366689   0.007374   0.000000   0.007374  -0.000000  -0.000000  -0.090523   0.000000   0.000000    8.3208     0.2530
    6.000     0.000   0.439442   0.010589   0.000000   0.010589  -0.000000  -0.000000  -0.109070   0.000000   0.000000    7.6009     0.2532
    7.000     0.000   0.511877   0.014365   0.000000   0.014365  -0.000000   0.000000  -0.127713   0.000000   0.000000    7.0426     0.2534
    8.000     0.000   0.583944   0.018691   0.000000   0.018691  -0.000000  -0.000000  -0.146427   0.000000   0.000000    6.5937     0.2537
    9.000     0.000   0.655592   0.023553   0.000000   0.023553  -0.000000  -0.000000  -0.165192   0.000000   0.000000    6.2230     0.2540
   10.000     0.000   0.726771   0.028937   0.000000   0.028937  -0.000000  -0.000000  -0.183983   0.000000   0.000000    5.9104     0.2543


