xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.000     0.000   0.078553   0.000263   0.000000   0.000263  -0.000000  -0.000000  -0.019552   0.000000   0.000000   15.8221     0.2559
    2.000     0.000   0.157054   0.001053   0.000000   0.001053  -0.000000  -0.000000  -0.040046   0.000000   0.000000   11.1898     0.2560
    3.000     0.000   0.235452   0.002366   0.000000   0.002366  -0.000000  -0.000000  -0.061456   0.000000   0.000000    9.1389     0.2560
    4.000     0.000   0.313696   0.004199   0.000000   0.004199  -0.000000   0.000000  -0.083757   0.000000   0.000000    7.9176     0.2561
    5.000     0.000   0.391735   0.006545   0.000000   0.006545  -0.000000  -0.000000  -0.106920   0.000000   0.000000    7.0852     0.2563
    6.000     0.000   0.469518   0.009399   0.000000   0.009399  -0.000000   0.000000  -0.130919   0.000000   0.000000    6.4717     0.2564
    7.000     0.000   0.546996   0.012750   0.000000   0.012750  -0.000000  -0.000000  -0.155723   0.000000   0.000000    5.9959     0.2566
    8.000     0.000   0.624118   0.016590   0.000000   0.016590  -0.000000  -0.000000  -0.181303   0.000000   0.000000    5.6132     0.2569
    9.000     0.000   0.700835   0.020906   0.000000   0.020906  -0.000000  -0.000000  -0.207626   0.000000   0.000000    5.2971     0.2571
   10.000     0.000   0.777100   0.025685   0.000000   0.025685  -0.000000  -0.000000  -0.234663   0.000000   0.000000    5.0304     0.2574


