xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.000     0.000   0.086873   0.000325   0.000000   0.000325  -0.000000  -0.000000  -0.061167   0.000000   0.000000   10.6696     0.7418
    2.000     0.000   0.173685   0.001298   0.000000   0.001298  -0.000000  -0.000000  -0.122333   0.000000   0.000000    7.5459     0.7419
    3.000     0.000   0.260375   0.002916   0.000000   0.002916  -0.000000  -0.000000  -0.183425   0.000000   0.000000    6.1630     0.7422
    4.000     0.000   0.346883   0.005175   0.000000   0.005175  -0.000000  -0.000000  -0.244368   0.000000   0.000000    5.3395     0.7425
    5.000     0.000   0.433149   0.008067   0.000000   0.008067  -0.000000  -0.000000  -0.305088   0.000000   0.000000    4.7783     0.7429
    6.000     0.000   0.519115   0.011584   0.000000   0.011584  -0.000000  -0.000000  -0.365511   0.000000   0.000000    4.3647     0.7435
    7.000     0.000   0.604721   0.015715   0.000000   0.015715  -0.000000  -0.000000  -0.425563   0.000000   0.000000    4.0440     0.7441
    8.000     0.000   0.689909   0.020447   0.000000   0.020447  -0.000000  -0.000000  -0.485171   0.000000   0.000000    3.7861     0.7448
    9.000     0.000   0.774621   0.025766   0.000000   0.025766  -0.000000  -0.000000  -0.544263   0.000000   0.000000    3.5731     0.7457
   10.000     0.000   0.858802   0.031655   0.000000   0.031655  -0.000000  -0.000000  -0.602766   0.000000   0.000000    3.3935     0.7466


