xflr5 v6.48

Plane name :        Ala prova
Polar name :        Progetto aerodinamica

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000   0.058174   0.000354   0.000000   0.000354  -0.000000   0.000000   0.066490   0.000000   0.000000   13.0384    -1.6813
   -2.000     0.000   0.146086   0.001027   0.000000   0.001027  -0.000000   0.000000   0.022219   0.000000   0.000000    8.2278    -0.2228
   -1.000     0.000   0.233941   0.002366   0.000000   0.002366  -0.000000   0.000000  -0.022125   0.000000   0.000000    6.5019     0.1399
    0.000     0.000   0.321679   0.004368   0.000000   0.004368  -0.000000   0.000000  -0.066488   0.000000   0.000000    5.5447     0.3046
    1.000     0.000   0.409236   0.007029   0.000000   0.007029  -0.000000   0.000000  -0.110816   0.000000   0.000000    4.9159     0.3988
    2.000     0.000   0.496553   0.010344   0.000000   0.010344  -0.000000   0.000000  -0.155054   0.000000   0.000000    4.4628     0.4600
    3.000     0.000   0.583569   0.014304   0.000000   0.014304  -0.000000   0.000000  -0.199149   0.000000   0.000000    4.1167     0.5030
    4.000     0.000   0.670223   0.018899   0.000000   0.018899  -0.000000   0.000000  -0.243047   0.000000   0.000000    3.8413     0.5349
    5.000     0.000   0.756456   0.024118   0.000000   0.024118  -0.000000   0.000000  -0.286694   0.000000   0.000000    3.6158     0.5598
    6.000     0.000   0.842209   0.029947   0.000000   0.029947  -0.000000   0.000000  -0.330038   0.000000   0.000000    3.4267     0.5797
    7.000     0.000   0.927424   0.036369   0.000000   0.036369  -0.000000   0.000000  -0.373026   0.000000   0.000000    3.2655     0.5961
    8.000     0.000   1.012043   0.043368   0.000000   0.043368  -0.000000   0.000000  -0.415604   0.000000   0.000000    3.1260     0.6100
    9.000     0.000   1.096011   0.050925   0.000000   0.050925  -0.000000   0.000000  -0.457722   0.000000   0.000000    3.0039     0.6219
   10.000     0.000   1.179272   0.059017   0.000000   0.059017  -0.000000   0.000000  -0.499328   0.000000   0.000000    2.8959     0.6323


